,Encoder Architecture,Classifier Architecture,Classifier Weight,R Squared,F1-Score,Accuracy,RSA,kl-divergence,Cross Entropy Loss,MSE,latent_cov,Seed
0,Linear,Linear,0,0.9995371811938706,0.0,0.5,0.9816118030821113,0.057352695465087894,0.6931473016738892,0.0966147631406784,[ 5.49209066 -0.44736844],0
1,Linear,Linear,1,0.9994893549165728,0.9565217391304348,0.955,0.9839543358690356,0.057552337646484375,0.3809100389480591,0.10741458088159561,[ 5.59306797 -0.55379696],0
2,Linear,Linear,10,0.999477901561806,0.9500000000000001,0.95,0.9916636079076139,0.05883636951446533,0.3633579611778259,0.10883614420890808,[ 6.1854179  -0.74500653],0
3,Linear,Linear,100,0.9993538806309679,0.9556650246305418,0.955,0.9937200403489133,0.0701646375656128,0.3578127920627594,0.13645747303962708,[10.62417726 -2.34347685],0
4,Linear,Linear,500,0.9990228321072299,0.9556650246305418,0.955,0.9782246233726423,0.09337199211120606,0.3565857410430908,0.19479461014270782,[15.68453363 -6.36661939],0
5,Linear,Linear,1,-0.7749881789566081,0.9145728643216081,0.915,0.5541362787631813,0.005674041509628296,0.41733643412590027,385.0240478515625,[1.28365148 0.16603434],0
6,Linear,Non-Linear,0,0.9995118276402353,0.0,0.5,0.9814330152555685,0.05706576347351074,0.6931473016738892,0.10491585731506348,[ 5.49008812 -0.31311239],0
7,Linear,Non-Linear,1,0.9995142154769531,0.9552238805970149,0.955,0.9824529017870877,0.05731937885284424,0.36507025361061096,0.10416939109563828,[ 5.56606342 -0.3426901 ],0
8,Linear,Non-Linear,10,0.9995300079541276,0.9603960396039604,0.96,0.9838732592719714,0.05795778751373291,0.35449597239494324,0.09990284591913223,[ 5.68249604 -0.28487685],0
9,Linear,Non-Linear,100,0.9995310016220144,0.9500000000000001,0.95,0.9944965830356862,0.06768828868865967,0.3535826504230499,0.09768451005220413,[ 8.02555358 -0.67736553],0
10,Linear,Non-Linear,500,0.9993069207800989,0.9500000000000001,0.95,0.985836827749194,0.10435799598693847,0.35343852639198303,0.14378252625465393,[17.76646459 -2.08520673],0
11,Linear,Non-Linear,1,-0.7749881789566081,0.9393939393939393,0.94,0.4929621276876997,0.005231747627258301,0.3885088860988617,385.0240478515625,[ 1.34767344 -0.12843222],0
12,Non-Linear,Linear,0,0.9973174590063638,0.0,0.5,0.9906033902722132,0.04097475528717041,0.6931473016738892,0.4952210485935211,[ 1.78258135 -0.0834752 ],0
13,Non-Linear,Linear,1,0.9973325021173595,0.9489795918367346,0.95,0.9906918135408038,0.04138815402984619,0.3804655373096466,0.4944804310798645,[ 2.14064395 -0.02442597],0
14,Non-Linear,Linear,10,0.9972980395298103,0.9393939393939393,0.94,0.9740929323541677,0.04320780754089355,0.36080607771873474,0.5072136521339417,[3.27314398 0.35703531],0
15,Non-Linear,Linear,100,0.997593841915744,0.9500000000000001,0.95,0.9233726966285736,0.05425888538360596,0.35683292150497437,0.44304531812667847,[7.62456636 2.16788174],0
16,Non-Linear,Linear,500,0.9962189303855757,0.9441624365482233,0.945,0.8677072034716719,0.08559599876403809,0.3562002182006836,0.7466719150543213,[15.22655781  8.94865027],0
17,Non-Linear,Linear,1,-0.7749881789566138,0.9145728643216081,0.915,0.5208192527953808,0.005411621332168579,0.3964329659938812,385.0240478515625,[0.98796268 0.02912794],0
18,Non-Linear,Non-Linear,0,0.9971807195253394,0.0,0.5,0.9930475556509661,0.040700645446777345,0.6931473016738892,0.5191805362701416,[ 1.71900658 -0.0550594 ],0
19,Non-Linear,Non-Linear,1,0.9972132958058119,0.9441624365482233,0.945,0.9938816816772139,0.040842385292053224,0.3678855895996094,0.5124219059944153,[ 1.85950778 -0.03445771],0
20,Non-Linear,Non-Linear,10,0.9974679101233636,0.9500000000000001,0.95,0.9927883572398254,0.04111344814300537,0.35915443301200867,0.45910683274269104,[2.05188936 0.02394033],0
21,Non-Linear,Non-Linear,100,0.9968135777172411,0.9494949494949495,0.95,0.9623016323782122,0.045861005783081055,0.3586932420730591,0.5959317684173584,[3.94374778 0.64766629],0
22,Non-Linear,Non-Linear,500,0.9921084414279607,0.9514563106796116,0.95,0.8864430870681189,0.06577227115631104,0.35661932826042175,1.7018675804138184,[9.28762261 4.36953292],0
23,Non-Linear,Non-Linear,1,-0.7749881789566081,0.9170731707317075,0.915,0.4969305014644148,0.004930383563041687,0.39787888526916504,385.0240478515625,[1.29407341 0.08749352],0
